id,user,date,pc,activity
L0,U100,2024-01-01 08:12:40.637407,PC-100,Logon
L18,U100,2024-01-01 16:02:18.184446,PC-100,Logoff
L19,U101,2024-01-01 08:16:39.997702,PC-101,Logon
L37,U101,2024-01-01 16:04:52.083619,PC-101,Logoff
L38,U102,2024-01-01 08:39:02.552734,PC-102,Logon
L53,U102,2024-01-01 16:56:59.175968,PC-102,Logoff
L54,U103,2024-01-01 08:08:25.955743,PC-103,Logon
L68,U103,2024-01-01 16:57:33.046465,PC-103,Logoff
L69,U104,2024-01-01 08:21:39.387800,PC-104,Logon
L84,U104,2024-01-01 15:46:07.403494,PC-104,Logoff
L85,U105,2024-01-01 08:07:41.333342,PC-105,Logon
L105,U105,2024-01-01 17:28:08.548887,PC-105,Logoff
L106,U106,2024-01-01 08:53:49.778714,PC-106,Logon
L121,U106,2024-01-01 17:02:15.949722,PC-106,Logoff
L122,U107,2024-01-01 09:26:28.440778,PC-107,Logon
L134,U107,2024-01-01 16:20:13.270779,PC-107,Logoff
L135,U108,2024-01-01 07:42:35.165027,PC-108,Logon
L149,U108,2024-01-01 14:39:34.776866,PC-108,Logoff
L150,U109,2024-01-01 08:57:22.297653,PC-109,Logon
L162,U109,2024-01-01 15:16:31.000276,PC-109,Logoff
L163,U110,2024-01-01 07:58:15.837207,PC-110,Logon
L175,U110,2024-01-01 14:22:04.603860,PC-110,Logoff
L176,U111,2024-01-01 08:40:41.524889,PC-111,Logon
L195,U111,2024-01-01 16:45:32.156515,PC-111,Logoff
L196,U112,2024-01-01 08:23:45.161585,PC-112,Logon
L208,U112,2024-01-01 14:37:24.102986,PC-112,Logoff
L209,U113,2024-01-01 08:49:07.986687,PC-113,Logon
L223,U113,2024-01-01 17:13:56.295175,PC-113,Logoff
L224,U114,2024-01-01 09:39:41.406805,PC-114,Logon
L238,U114,2024-01-01 15:24:05.371496,PC-114,Logoff
L239,U115,2024-01-01 08:23:59.405564,PC-115,Logon
L263,U115,2024-01-01 18:08:33.865386,PC-115,Logoff
L264,U116,2024-01-01 08:54:51.035950,PC-116,Logon
L280,U116,2024-01-01 17:13:24.524276,PC-116,Logoff
L281,U117,2024-01-01 08:32:33.263202,PC-117,Logon
L304,U117,2024-01-01 17:15:11.918227,PC-117,Logoff
L305,U118,2024-01-01 09:02:29.729787,PC-118,Logon
L317,U118,2024-01-01 15:41:35.320336,PC-118,Logoff
L318,U119,2024-01-01 08:26:39.715403,PC-119,Logon
L336,U119,2024-01-01 17:07:06.729012,PC-119,Logoff
L337,U120,2024-01-01 09:02:05.194577,PC-120,Logon
L360,U120,2024-01-01 17:57:08.207933,PC-120,Logoff
L361,U121,2024-01-01 07:42:07.872271,PC-121,Logon
L374,U121,2024-01-01 14:57:11.734125,PC-121,Logoff
L375,U122,2024-01-01 08:58:20.331864,PC-122,Logon
L392,U122,2024-01-01 16:30:25.631252,PC-122,Logoff
L393,U123,2024-01-01 09:04:44.906994,PC-123,Logon
L412,U123,2024-01-01 16:54:43.321992,PC-123,Logoff
L413,U124,2024-01-01 08:30:19.423061,PC-124,Logon
L430,U124,2024-01-01 16:47:08.251933,PC-124,Logoff
L431,U125,2024-01-01 08:23:33.169827,PC-125,Logon
L447,U125,2024-01-01 16:10:25.421795,PC-125,Logoff
