id,user,date,pc,filename,activity,to_removable_media
E2,U100,2024-01-01 12:58:38.201509,PC-100,on.mov,File Open,False
E3,U100,2024-01-01 12:42:38.201509,PC-100,set.wav,File Open,False
E4,U100,2024-01-01 12:47:38.201509,PC-100,value.wav,File Open,False
E5,U100,2024-01-01 13:04:38.201509,PC-100,specific.mov,File Open,False
E6,U100,2024-01-01 11:08:38.201509,PC-100,finally.docx,File Open,False
E15,U101,2024-01-01 17:16:00.000000,PC-101,news.jpeg,File Open,False
E16,U101,2024-01-01 17:51:00.000000,PC-101,development.webm,File Open,False
E17,U101,2024-01-01 14:12:00.000000,PC-101,sell.avi,File Open,False
E50,U103,2024-01-01 08:16:19.058023,PC-103,they.mp4,File Open,False
E51,U103,2024-01-01 12:19:19.058023,PC-103,old.pages,File Open,False
E52,U103,2024-01-01 09:08:19.058023,PC-103,care.jpg,File Open,False
E61,U104,2024-01-01 08:04:16.761363,PC-104,receive.bmp,File Open,False
E62,U104,2024-01-01 13:36:16.761363,PC-104,get.jpg,File Open,False
E63,U104,2024-01-01 11:50:16.761363,PC-104,spring.docx,File Open,False
E91,U106,2024-01-01 07:39:49.688423,PC-106,relate.html,File Open,False
E92,U106,2024-01-01 12:51:49.688423,PC-106,company.txt,File Open,False
E93,U106,2024-01-01 10:09:49.688423,PC-106,prevent.csv,File Open,False
E133,U108,2024-01-01 13:27:58.962387,PC-108,strong.pdf,File Open,False
E134,U108,2024-01-01 10:02:58.962387,PC-108,large.avi,File Open,False
E135,U108,2024-01-01 08:03:58.962387,PC-108,down.wav,File Open,False
E136,U108,2024-01-01 10:18:58.962387,PC-108,the.jpeg,File Open,False
E156,U109,2024-01-01 12:50:37.709637,PC-109,she.mp3,File Open,False
E157,U109,2024-01-01 09:54:37.709637,PC-109,particularly.pages,File Open,False
E158,U109,2024-01-01 13:26:37.709637,PC-109,likely.csv,File Open,False
E175,U110,2024-01-01 10:12:43.894816,PC-110,wear.mp3,File Open,False
E176,U110,2024-01-01 09:46:43.894816,PC-110,office.numbers,File Open,False
E177,U110,2024-01-01 09:58:43.894816,PC-110,letter.bmp,File Open,False
E178,U110,2024-01-01 12:55:43.894816,PC-110,firm.pages,File Open,False
E196,U111,2024-01-01 17:14:00.000000,PC-111,bill.css,File Open,False
E197,U111,2024-01-01 15:33:00.000000,PC-111,central.png,File Open,False
E198,U111,2024-01-01 11:59:00.000000,PC-111,hospital.js,File Open,False
E199,U111,2024-01-01 11:37:00.000000,PC-111,people.webm,File Open,False
E200,U111,2024-01-01 15:04:00.000000,PC-111,real.jpg,File Open,False
E238,U113,2024-01-01 08:02:27.246271,PC-113,call.pptx,File Open,False
E261,U115,2024-01-01 08:10:53.153745,PC-115,strategy.mp4,File Open,False
E271,U116,2024-01-01 07:42:12.797476,PC-116,great.wav,File Open,False
E272,U116,2024-01-01 12:24:12.797476,PC-116,picture.avi,File Open,False
E273,U116,2024-01-01 06:50:12.797476,PC-116,commercial.csv,File Open,False
E274,U116,2024-01-01 11:51:12.797476,PC-116,spend.tiff,File Open,False
E275,U116,2024-01-01 06:38:12.797476,PC-116,set.avi,File Open,False
E284,U117,2024-01-01 07:25:15.506821,PC-117,then.avi,File Open,False
E285,U117,2024-01-01 12:44:15.506821,PC-117,your.css,File Open,False
E300,U118,2024-01-01 08:25:12.992518,PC-118,measure.txt,File Open,False
E325,U120,2024-01-01 13:38:05.350378,PC-120,herself.css,File Open,False
E326,U120,2024-01-01 13:05:05.350378,PC-120,manage.mov,File Open,False
E344,U121,2024-01-01 09:10:35.705599,PC-121,bill.gif,File Open,False
E356,U122,2024-01-01 07:29:12.251143,PC-122,wrong.odp,File Open,False
E357,U122,2024-01-01 08:54:12.251143,PC-122,charge.pdf,File Open,False
E377,U123,2024-01-01 07:39:40.483939,PC-123,apply.gif,File Open,False
E378,U123,2024-01-01 07:05:40.483939,PC-123,pull.avi,File Open,False
E387,U124,2024-01-01 10:30:47.290264,PC-124,feel.mp3,File Open,False
E388,U124,2024-01-01 08:15:47.290264,PC-124,of.txt,File Open,False
E407,U125,2024-01-01 07:49:41.639555,PC-125,worry.mp4,File Open,False
E408,U125,2024-01-01 12:59:41.639555,PC-125,almost.mp3,File Open,False
E409,U125,2024-01-01 08:47:41.639555,PC-125,couple.odt,File Open,False
E410,U125,2024-01-01 12:04:41.639555,PC-125,shoulder.tiff,File Open,False
E419,U126,2024-01-01 10:53:22.653154,PC-126,design.flac,File Open,False
E429,U127,2024-01-01 07:40:26.305212,PC-127,time.csv,File Open,False
E430,U127,2024-01-01 08:51:26.305212,PC-127,toward.jpeg,File Open,False
E439,U128,2024-01-01 11:00:24.702554,PC-128,PM.tiff,File Open,False
E440,U128,2024-01-01 10:14:24.702554,PC-128,whole.jpg,File Open,False
E441,U128,2024-01-01 11:01:24.702554,PC-128,fund.png,File Open,False
E442,U128,2024-01-01 08:40:24.702554,PC-128,man.odt,File Open,False
E465,U129,2024-01-01 11:47:32.708331,PC-129,if.mov,File Open,False
E466,U129,2024-01-01 08:13:32.708331,PC-129,shake.tiff,File Open,False
E467,U129,2024-01-01 12:33:32.708331,PC-129,skill.wav,File Open,False
E468,U129,2024-01-01 09:54:32.708331,PC-129,billion.doc,File Open,False
E490,U130,2024-01-01 07:50:52.293185,PC-130,money.txt,File Open,False
E491,U130,2024-01-01 06:59:52.293185,PC-130,floor.tiff,File Open,False
E504,U131,2024-01-01 12:50:52.772914,PC-131,boy.numbers,File Open,False
E505,U131,2024-01-01 14:21:52.772914,PC-131,either.tiff,File Open,False
E506,U131,2024-01-01 09:31:52.772914,PC-131,old.avi,File Open,False
E519,U132,2024-01-01 09:49:01.592956,PC-132,tree.mp4,File Open,False
E520,U132,2024-01-01 12:59:01.592956,PC-132,memory.doc,File Open,False
E521,U132,2024-01-01 13:13:01.592956,PC-132,teacher.gif,File Open,False
E554,U134,2024-01-01 13:58:00.000000,PC-134,challenge.flac,File Open,False
E555,U134,2024-01-01 08:54:00.000000,PC-134,show.wav,File Open,False
E556,U134,2024-01-01 08:11:00.000000,PC-134,laugh.html,File Open,False
E557,U134,2024-01-01 12:31:00.000000,PC-134,challenge.pdf,File Open,False
E574,U135,2024-01-02 00:43:00.000000,PC-135,government.flac,File Open,False
E575,U135,2024-01-01 20:11:00.000000,PC-135,need.html,File Open,False
E576,U135,2024-01-01 23:13:00.000000,PC-135,seem.mp3,File Open,False
E589,U136,2024-01-01 07:39:35.334255,PC-136,early.css,File Open,False
E599,U137,2024-01-01 07:32:15.188109,PC-137,clearly.mp4,File Open,False
E600,U137,2024-01-01 13:24:15.188109,PC-137,listen.flac,File Open,False
E644,U139,2024-01-01 12:12:59.851052,PC-139,blood.bmp,File Open,False
E645,U139,2024-01-01 09:06:59.851052,PC-139,customer.xlsx,File Open,False
E646,U139,2024-01-01 13:33:59.851052,PC-139,once.txt,File Open,False
E668,U140,2024-01-01 11:37:05.537953,PC-140,again.pptx,File Open,False
E669,U140,2024-01-01 13:04:05.537953,PC-140,floor.pdf,File Open,False
E670,U140,2024-01-01 09:52:05.537953,PC-140,threat.ppt,File Open,False
E687,U141,2024-01-01 11:17:33.547018,PC-141,blue.json,File Open,False
E708,U142,2024-01-01 10:41:12.266556,PC-142,similar.wav,File Open,False
E709,U142,2024-01-01 10:49:12.266556,PC-142,rule.gif,File Open,False
E710,U142,2024-01-01 11:09:12.266556,PC-142,carry.ppt,File Open,False
E718,U143,2024-01-01 21:48:00.000000,PC-143,especially.txt,File Open,False
E719,U143,2024-01-02 00:00:00.000000,PC-143,phone.mp4,File Open,False
E730,U144,2024-01-01 10:13:53.701672,PC-144,quickly.mp3,File Open,False
E740,U145,2024-01-01 11:13:43.740624,PC-145,meeting.json,File Open,False
E741,U145,2024-01-01 11:54:43.740624,PC-145,course.webm,File Open,False
E742,U145,2024-01-01 12:05:43.740624,PC-145,start.webm,File Open,False
E765,U146,2024-01-01 14:28:31.539833,PC-146,impact.bmp,File Open,False
E791,U148,2024-01-01 13:10:26.980059,PC-148,finally.pptx,File Open,False
E792,U148,2024-01-01 07:47:26.980059,PC-148,nice.png,File Open,False
E808,U149,2024-01-01 12:06:17.654182,PC-149,term.js,File Open,False
E809,U149,2024-01-01 07:06:17.654182,PC-149,close.mp3,File Open,False
E810,U149,2024-01-01 07:48:17.654182,PC-149,century.avi,File Open,False
E811,U149,2024-01-01 10:02:17.654182,PC-149,find.json,File Open,False
E832,U151,2024-01-01 10:20:42.370474,PC-151,majority.xls,File Open,False
E833,U151,2024-01-01 08:36:42.370474,PC-151,industry.mp4,File Open,False
E834,U151,2024-01-01 10:13:42.370474,PC-151,action.odp,File Open,False
E835,U151,2024-01-01 09:22:42.370474,PC-151,return.png,File Open,False
E836,U151,2024-01-01 11:08:42.370474,PC-151,challenge.png,File Open,False
E885,U154,2024-01-01 10:51:20.960367,PC-154,rule.mov,File Open,False
E886,U154,2024-01-01 07:14:20.960367,PC-154,order.js,File Open,False
E907,U155,2024-01-01 20:44:00.000000,PC-155,such.gif,File Open,False
E908,U155,2024-01-01 23:28:00.000000,PC-155,sure.jpg,File Open,False
E909,U155,2024-01-01 23:54:00.000000,PC-155,know.flac,File Open,False
E910,U155,2024-01-01 23:19:00.000000,PC-155,walk.csv,File Open,False
E925,U156,2024-01-01 12:17:33.623495,PC-156,body.mp4,File Open,False
E937,U157,2024-01-01 08:11:34.289094,PC-157,official.bmp,File Open,False
E938,U157,2024-01-01 10:18:34.289094,PC-157,its.xlsx,File Open,False
E954,U158,2024-01-01 11:00:55.669500,PC-158,professional.xls,File Open,False
E955,U158,2024-01-01 13:01:55.669500,PC-158,write.wav,File Open,False
E956,U158,2024-01-01 13:26:55.669500,PC-158,environment.mp4,File Open,False
E957,U158,2024-01-01 07:41:55.669500,PC-158,fire.txt,File Open,False
E958,U158,2024-01-01 11:08:55.669500,PC-158,very.jpeg,File Open,False
E976,U159,2024-01-01 12:34:25.902371,PC-159,own.flac,File Open,False
E977,U159,2024-01-01 11:15:25.902371,PC-159,might.txt,File Open,False
E978,U159,2024-01-01 07:11:25.902371,PC-159,appear.mov,File Open,False
E979,U159,2024-01-01 10:33:25.902371,PC-159,police.xlsx,File Open,False
E991,U160,2024-01-01 09:32:28.057311,PC-160,line.ods,File Open,False
E992,U160,2024-01-01 09:12:28.057311,PC-160,she.css,File Open,False
E1013,U161,2024-01-01 19:45:00.000000,PC-161,sometimes.xls,File Open,False
E1014,U161,2024-01-02 00:25:00.000000,PC-161,sister.flac,File Open,False
E1015,U161,2024-01-01 19:33:00.000000,PC-161,pressure.flac,File Open,False
E1016,U161,2024-01-01 18:24:00.000000,PC-161,address.jpeg,File Open,False
E1030,U162,2024-01-01 10:38:00.000000,PC-162,idea.wav,File Open,False
E1031,U162,2024-01-01 12:33:00.000000,PC-162,key.avi,File Open,False
E1032,U162,2024-01-01 11:43:00.000000,PC-162,claim.png,File Open,False
E1033,U162,2024-01-01 16:02:00.000000,PC-162,where.html,File Open,False
E1046,U163,2024-01-01 14:00:09.148881,PC-163,within.flac,File Open,False
E1047,U163,2024-01-01 11:03:09.148881,PC-163,might.json,File Open,False
E1048,U163,2024-01-01 12:23:09.148881,PC-163,very.ods,File Open,False
E1049,U163,2024-01-01 12:27:09.148881,PC-163,interview.jpg,File Open,False
E1050,U163,2024-01-01 08:04:09.148881,PC-163,simple.wav,File Open,False
E1064,U164,2024-01-01 09:00:29.971435,PC-164,country.gif,File Open,False
E1065,U164,2024-01-01 11:22:29.971435,PC-164,foot.mp3,File Open,False
E1074,U165,2024-01-01 10:05:52.681220,PC-165,appear.docx,File Open,False
E1075,U165,2024-01-01 07:54:52.681220,PC-165,could.mp3,File Open,False
E1076,U165,2024-01-01 07:40:52.681220,PC-165,feel.tiff,File Open,False
E1077,U165,2024-01-01 08:48:52.681220,PC-165,lose.avi,File Open,False
E1093,U166,2024-01-01 08:31:12.868027,PC-166,step.ods,File Open,False
E1094,U166,2024-01-01 08:41:12.868027,PC-166,arrive.txt,File Open,False
E1110,U167,2024-01-01 23:10:00.000000,PC-167,design.mp4,File Open,False
E1111,U167,2024-01-02 00:15:00.000000,PC-167,often.mov,File Open,False
E1112,U167,2024-01-01 22:25:00.000000,PC-167,chance.ppt,File Open,False
E1113,U167,2024-01-01 22:03:00.000000,PC-167,election.pages,File Open,False
E1114,U167,2024-01-01 18:41:00.000000,PC-167,foreign.bmp,File Open,False
E1125,U168,2024-01-01 07:13:38.041903,PC-168,throughout.js,File Open,False
E1126,U168,2024-01-01 08:00:38.041903,PC-168,special.jpeg,File Open,False
E1127,U168,2024-01-01 10:07:38.041903,PC-168,paper.pages,File Open,False
E1128,U168,2024-01-01 12:00:38.041903,PC-168,board.png,File Open,False
E1129,U168,2024-01-01 11:43:38.041903,PC-168,style.txt,File Open,False
