id,user,date,pc,activity
E0,U100,2024-01-01 07:44:38.201509,PC-100,Logon
E1,U100,2024-01-01 16:33:11.192053,PC-100,Logoff
E13,U101,2024-01-01 13:27:00.000000,PC-101,Logon
E14,U101,2024-01-01 21:36:58.166037,PC-101,Logoff
E34,U102,2024-01-01 07:25:58.525026,PC-102,Logon
E35,U102,2024-01-01 16:32:03.559109,PC-102,Logoff
E48,U103,2024-01-01 07:01:19.058023,PC-103,Logon
E49,U103,2024-01-01 15:41:57.898646,PC-103,Logoff
E59,U104,2024-01-01 07:07:16.761363,PC-104,Logon
E60,U104,2024-01-01 16:09:41.519315,PC-104,Logoff
E69,U105,2024-01-01 06:01:48.955903,PC-105,Logon
E70,U105,2024-01-01 13:01:16.637089,PC-105,Logoff
E89,U106,2024-01-01 06:11:49.688423,PC-106,Logon
E90,U106,2024-01-01 15:47:54.121440,PC-106,Logoff
E110,U107,2024-01-01 16:46:00.000000,PC-107,Logon
E111,U107,2024-01-01 23:34:30.553462,PC-107,Logoff
E131,U108,2024-01-01 07:39:58.962387,PC-108,Logon
E132,U108,2024-01-01 14:36:12.439093,PC-108,Logoff
E154,U109,2024-01-01 07:29:37.709637,PC-109,Logon
E155,U109,2024-01-01 15:26:01.211305,PC-109,Logoff
E173,U110,2024-01-01 07:10:43.894816,PC-110,Logon
E174,U110,2024-01-01 15:53:25.281671,PC-110,Logoff
E194,U111,2024-01-01 11:19:00.000000,PC-111,Logon
E195,U111,2024-01-01 18:39:09.482467,PC-111,Logoff
E216,U112,2024-01-01 10:43:00.000000,PC-112,Logon
E217,U112,2024-01-01 18:24:18.570823,PC-112,Logoff
E236,U113,2024-01-01 06:19:27.246271,PC-113,Logon
E237,U113,2024-01-01 13:47:59.194858,PC-113,Logoff
E252,U114,2024-01-01 06:58:57.740268,PC-114,Logon
E253,U114,2024-01-01 14:07:37.718909,PC-114,Logoff
E259,U115,2024-01-01 07:05:53.153745,PC-115,Logon
E260,U115,2024-01-01 14:17:03.221804,PC-115,Logoff
E269,U116,2024-01-01 06:08:12.797476,PC-116,Logon
