id,user,date,pc,source,activity,hour,day_of_week,source_idx,lstm_score,risk_score
E609,U135,2024-01-01 00:24:00.000000,PC-135,Logon,Logon,0,0,0,0.0,0.0
E622,U135,2024-01-01 01:26:00.000000,PC-135,Http,Http Request,1,0,1,0.0,0.0
E614,U135,2024-01-01 02:14:00.000000,PC-135,Http,Http Request,2,0,1,0.0,0.0
E613,U135,2024-01-01 02:48:00.000000,PC-135,File,File Open,2,0,2,0.0,0.0
E611,U135,2024-01-01 03:09:00.000000,PC-135,File,File Open,3,0,2,0.0,0.0
E612,U135,2024-01-01 04:45:00.000000,PC-135,File,File Open,4,0,2,0.0,0.0
E618,U135,2024-01-01 04:55:00.000000,PC-135,Http,Http Request,4,0,1,0.0,0.0
E591,U134,2024-01-01 06:10:00.000000,PC-134,Logon,Logon,6,0,0,0.0,0.0
E617,U135,2024-01-01 06:18:00.000000,PC-135,Http,Http Request,6,0,1,0.0,0.0
E616,U135,2024-01-01 07:06:00.000000,PC-135,Http,Http Request,7,0,1,0.0,0.0
E615,U135,2024-01-01 07:11:00.000000,PC-135,Http,Http Request,7,0,1,0.20403695106506348,38.2569283246994
E620,U135,2024-01-01 07:27:00.000000,PC-135,Http,Http Request,7,0,1,0.1538945734500885,28.855232521891594
E621,U135,2024-01-01 07:35:00.000000,PC-135,Http,Http Request,7,0,1,0.15903586149215698,29.819224029779434
E619,U135,2024-01-01 07:39:00.000000,PC-135,Http,Http Request,7,0,1,0.1627361923456192,30.5130360648036
E757,U143,2024-01-01 07:42:00.000000,PC-143,Logon,Logon,7,0,0,0.0,0.0
E219,U113,2024-01-01 08:00:47.542733,PC-113,Logon,Logon,8,0,0,0.0,0.0
E224,U113,2024-01-01 08:00:47.542733,PC-113,Http,Http Request,8,0,1,0.0,0.0
E641,U137,2024-01-01 08:03:37.032204,PC-137,Logon,Logon,8,0,0,0.0,0.0
E93,U105,2024-01-01 08:04:14.279258,PC-105,Logon,Logon,8,0,0,0.0,0.0
E536,U131,2024-01-01 08:05:02.221952,PC-131,Logon,Logon,8,0,0,0.0,0.0
E411,U123,2024-01-01 08:05:54.587909,PC-123,Logon,Logon,8,0,0,0.0,0.0
E498,U128,2024-01-01 08:06:40.946690,PC-128,Logon,Logon,8,0,0,0.0,0.0
E790,U145,2024-01-01 08:06:50.790354,PC-145,Logon,Logon,8,0,0,0.0,0.0
E837,U148,2024-01-01 08:08:44.195672,PC-148,Logon,Logon,8,0,0,0.0,0.0
E104,U105,2024-01-01 08:10:14.279258,PC-105,Http,Http Request,8,0,1,0.0,0.0
E507,U129,2024-01-01 08:10:19.212368,PC-129,Logon,Logon,8,0,0,0.0,0.0
E517,U129,2024-01-01 08:12:19.212368,PC-129,Http,Http Request,8,0,1,0.0,0.0
E855,U148,2024-01-01 08:13:44.195672,PC-148,Http,Http Request,8,0,1,0.0,0.0
E99,U105,2024-01-01 08:14:14.279258,PC-105,File,File Open,8,0,2,0.0,0.0
E523,U129,2024-01-01 08:14:19.212368,PC-129,Http,Http Request,8,0,1,0.0,0.0
E646,U137,2024-01-01 08:14:37.032204,PC-137,Http,Http Request,8,0,1,0.0,0.0
E255,U115,2024-01-01 08:15:12.724827,PC-115,Logon,Logon,8,0,0,0.0,0.0
E774,U144,2024-01-01 08:17:57.504612,PC-144,Logon,Logon,8,0,0,0.0,0.0
E262,U115,2024-01-01 08:18:12.724827,PC-115,Http,Http Request,8,0,1,0.0,0.0
E227,U113,2024-01-01 08:20:47.542733,PC-113,Http,Http Request,8,0,1,0.0,0.0
E781,U144,2024-01-01 08:20:57.504612,PC-144,Http,Http Request,8,0,1,0.0,0.0
E416,U123,2024-01-01 08:21:54.587909,PC-123,File,File Open,8,0,2,0.0,0.0
E610,U135,2024-01-01 08:22:37.096894,PC-135,Logon,Logoff,8,0,0,0.20472952723503113,38.38678635656834
E221,U113,2024-01-01 08:26:47.542733,PC-113,File,File Open,8,0,2,0.0,0.0
E280,U116,2024-01-01 08:26:51.822601,PC-116,Logon,Logon,8,0,0,0.0,0.0
E395,U122,2024-01-01 08:26:58.260154,PC-122,Logon,Logon,8,0,0,0.0,0.0
E268,U115,2024-01-01 08:28:12.724827,PC-115,Http,Http Request,8,0,1,0.0,0.0
E97,U105,2024-01-01 08:28:14.279258,PC-105,File,File Open,8,0,2,0.0,0.0
E257,U115,2024-01-01 08:29:12.724827,PC-115,File,File Open,8,0,2,0.0,0.0
E841,U148,2024-01-01 08:29:44.195672,PC-148,File,File Open,8,0,2,0.0,0.0
E293,U116,2024-01-01 08:29:51.822601,PC-116,Http,Http Request,8,0,1,0.0,0.0
E434,U124,2024-01-01 08:30:28.077395,PC-124,Logon,Logon,8,0,0,0.0,0.0
E402,U122,2024-01-01 08:30:58.260154,PC-122,Http,Http Request,8,0,1,0.0,0.0
E453,U125,2024-01-01 08:32:24.253110,PC-125,Logon,Logon,8,0,0,0.0,0.0
E223,U113,2024-01-01 08:33:47.542733,PC-113,File,File Open,8,0,2,0.0,0.0
E748,U142,2024-01-01 08:33:50.848596,PC-142,Logon,Logon,8,0,0,0.0,0.0
E138,U108,2024-01-01 08:34:49.889137,PC-108,Logon,Logon,8,0,0,0.0,0.0
