id,user,date,pc,source,activity,hour,day_of_week,source_idx,lstm_score,risk_score
E609,0e7d62990984,2024-01-01 00:24:00.000000,edc73e0252f0,Logon,Logon,0,0,0,0.0,0.0
E622,0e7d62990984,2024-01-01 01:26:00.000000,edc73e0252f0,Http,Http Request,1,0,1,0.0,0.0
E614,0e7d62990984,2024-01-01 02:14:00.000000,edc73e0252f0,Http,Http Request,2,0,1,0.0,0.0
E613,0e7d62990984,2024-01-01 02:48:00.000000,edc73e0252f0,File,File Open,2,0,2,0.0,0.0
E611,0e7d62990984,2024-01-01 03:09:00.000000,edc73e0252f0,File,File Open,3,0,2,0.0,0.0
E612,0e7d62990984,2024-01-01 04:45:00.000000,edc73e0252f0,File,File Open,4,0,2,0.0,0.0
E618,0e7d62990984,2024-01-01 04:55:00.000000,edc73e0252f0,Http,Http Request,4,0,1,0.0,0.0
E591,1d9ef59677a4,2024-01-01 06:10:00.000000,5a22087e90b8,Logon,Logon,6,0,0,0.0,0.0
E617,0e7d62990984,2024-01-01 06:18:00.000000,edc73e0252f0,Http,Http Request,6,0,1,0.0,0.0
E616,0e7d62990984,2024-01-01 07:06:00.000000,edc73e0252f0,Http,Http Request,7,0,1,0.0,0.0
E615,0e7d62990984,2024-01-01 07:11:00.000000,edc73e0252f0,Http,Http Request,7,0,1,0.2183511704206466,40.94084445387125
E620,0e7d62990984,2024-01-01 07:27:00.000000,edc73e0252f0,Http,Http Request,7,0,1,0.1790617257356643,33.57407357543707
E621,0e7d62990984,2024-01-01 07:35:00.000000,edc73e0252f0,Http,Http Request,7,0,1,0.1293675899505615,24.25642311573029
E619,0e7d62990984,2024-01-01 07:39:00.000000,edc73e0252f0,Http,Http Request,7,0,1,0.1178506314754486,22.09699340164661
E757,f839184be727,2024-01-01 07:42:00.000000,b5a4f3bd8f5f,Logon,Logon,7,0,0,0.0,0.0
E219,5b374ec18bcd,2024-01-01 08:00:47.542733,498960f157e4,Logon,Logon,8,0,0,0.0,0.0
E224,5b374ec18bcd,2024-01-01 08:00:47.542733,498960f157e4,Http,Http Request,8,0,1,0.0,0.0
E641,2ea803e47b9a,2024-01-01 08:03:37.032204,c827bafe0309,Logon,Logon,8,0,0,0.0,0.0
E93,879d3b2d0fce,2024-01-01 08:04:14.279258,57856ce9c00d,Logon,Logon,8,0,0,0.0,0.0
